,admin1,admin2,month,year,conflict_onset,inflation_all,inflation_food,inflation_non_food,rainfall,rainfall_lag,temperature mean,btotl,maize_ETB_KG,teff_ETB_KG,wheat_ETB_KG,mean ndvi,ndvi_lag,cluster
0,Addis Ababa,Addis Ababa,1,1997,0.0,0.0,0.0,0.0,22.234521126999997,0.0,15.661829023,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
1,Addis Ababa,Addis Ababa,1,1998,0.0,0.0,0.0,0.0,45.274013173,0.0,16.329123355999993,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
2,Addis Ababa,Addis Ababa,1,1999,0.0,0.0,0.0,0.0,13.790604760399999,0.0,15.151543887,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
3,Addis Ababa,Addis Ababa,1,2000,0.0,0.0,0.0,0.0,7.8039567339,0.0,14.830228788,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
4,Addis Ababa,Addis Ababa,1,2001,1.0,0.0,0.0,0.0,8.571753561799998,0.0,15.621891363999998,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
5,Addis Ababa,Addis Ababa,1,2002,0.0,0.0,0.0,0.0,25.35375346,0.0,15.109966905000002,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
6,Addis Ababa,Addis Ababa,1,2003,0.0,0.0,0.0,0.0,24.098647821999997,0.0,15.833039111,2642130.0,0.0,0.0,0.0,132.23371092,0.0,Addis Ababa_Addis Ababa
7,Addis Ababa,Addis Ababa,1,2004,0.0,0.0,0.0,0.0,29.405568284000005,0.0,16.460384627,2708629.0,0.0,0.0,0.0,131.92454545,0.0,Addis Ababa_Addis Ababa
8,Addis Ababa,Addis Ababa,1,2005,0.0,0.0,0.0,0.0,32.060612288999984,0.0,15.394283103,2777763.0,0.0,0.0,0.0,131.39363989,0.0,Addis Ababa_Addis Ababa
9,Addis Ababa,Addis Ababa,1,2006,1.0,0.0,0.0,0.0,8.792342134199997,0.0,15.851490473000002,2850120.0,0.0,0.0,0.0,129.55652075000003,0.0,Addis Ababa_Addis Ababa
10,Addis Ababa,Addis Ababa,1,2007,0.0,12.9,14.0,11.3,26.714349493,0.0,15.45758777,8405526.0,0.0,0.0,0.0,133.1863205,0.0,Addis Ababa_Addis Ababa
11,Addis Ababa,Addis Ababa,1,2008,0.0,17.5,22.8,10.5,7.908382113600001,0.0,15.967829243999994,3006289.0,0.0,0.0,0.0,128.56180003,0.0,Addis Ababa_Addis Ababa
12,Addis Ababa,Addis Ababa,1,2009,0.0,45.6,60.9,23.4,35.888322888000005,0.0,15.370167468,3089964.0,0.0,0.0,0.0,132.89043612,0.0,Addis Ababa_Addis Ababa
13,Addis Ababa,Addis Ababa,1,2010,0.0,6.6,0.7,17.8,11.095757335700002,0.0,16.258671947000007,3177713.0,4.1648611112500005,8.292022792000001,6.5808210785,134.05916665,0.0,Addis Ababa_Addis Ababa
14,Addis Ababa,Addis Ababa,1,2011,0.0,9.0,2.6,19.4,13.2051343455,0.0,16.030510322999998,3268409.0,3.736111111,7.441660879750001,6.78973560375,132.34953763,0.0,Addis Ababa_Addis Ababa
15,Addis Ababa,Addis Ababa,1,2012,0.0,34.3,41.4,24.5,8.7403789082,0.0,15.558780589000001,3362496.0,0.0,0.0,0.0,128.65928988,0.0,Addis Ababa_Addis Ababa
16,Addis Ababa,Addis Ababa,1,2013,1.0,22.3,25.6,18.5,8.590652390499999,0.0,16.457065118,3460484.0,6.517361111,13.442137894999998,10.858604540750001,128.99689011,0.0,Addis Ababa_Addis Ababa
17,Addis Ababa,Addis Ababa,1,2014,1.0,7.7,5.2,10.7,8.8222125518,0.0,15.578331358000007,3562422.0,7.218055555499999,13.373492064999999,11.2665625,128.94113492000002,0.0,Addis Ababa_Addis Ababa
18,Addis Ababa,Addis Ababa,1,2015,1.0,7.4,5.6,9.4,7.361099529600001,0.0,15.134215588999998,3668349.0,7.416666666499999,13.580695045,13.49440469,128.7403039,0.0,Addis Ababa_Addis Ababa
19,Addis Ababa,Addis Ababa,1,2016,1.0,10.3,12.5,7.9,21.818371899000002,0.0,15.964821397999998,3778249.0,0.0,0.0,0.0,130.99831653,0.0,Addis Ababa_Addis Ababa
20,Addis Ababa,Addis Ababa,1,2017,1.0,6.9,6.0,8.0,8.6730711102,0.0,16.246961656000007,3891784.0,0.0,0.0,0.0,128.93469147,0.0,Addis Ababa_Addis Ababa
21,Addis Ababa,Addis Ababa,1,2018,1.0,11.3,12.3,11.2,9.5234598817,0.0,14.67969775,4008641.0,11.1160714275,19.0480567225,27.294693825,126.57054698000002,0.0,Addis Ababa_Addis Ababa
22,Addis Ababa,Addis Ababa,1,2019,1.0,13.3,12.2,14.7,8.1406476149,0.0,0.0,4128712.0,0.0,0.0,0.0,128.20953838,0.0,Addis Ababa_Addis Ababa
23,Addis Ababa,Addis Ababa,1,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4251897.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
24,Addis Ababa,Addis Ababa,2,1997,0.0,0.0,0.0,0.0,7.686830092899999,22.234521126999997,15.10533664,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
25,Addis Ababa,Addis Ababa,2,1998,0.0,0.0,0.0,0.0,36.255272686,45.274013173,16.654905188,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
26,Addis Ababa,Addis Ababa,2,1999,0.0,0.0,0.0,0.0,8.7542368513,13.790604760399999,15.777352645000002,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
27,Addis Ababa,Addis Ababa,2,2000,1.0,0.0,0.0,0.0,7.421071146400001,7.8039567339,15.247887617,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
28,Addis Ababa,Addis Ababa,2,2001,0.0,0.0,0.0,0.0,15.444511599999998,8.571753561799998,15.561966637999998,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
29,Addis Ababa,Addis Ababa,2,2002,0.0,0.0,0.0,0.0,21.616005076,25.35375346,16.668219355,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
30,Addis Ababa,Addis Ababa,2,2003,0.0,0.0,0.0,0.0,25.461433173000003,24.098647821999997,16.457524352,2642130.0,0.0,0.0,0.0,129.54964318,132.23371092,Addis Ababa_Addis Ababa
31,Addis Ababa,Addis Ababa,2,2004,0.0,0.0,0.0,0.0,15.361654824,29.405568284000005,15.820202293,2708629.0,0.0,0.0,0.0,130.59524937,131.92454545,Addis Ababa_Addis Ababa
32,Addis Ababa,Addis Ababa,2,2005,0.0,0.0,0.0,0.0,20.789831485,32.060612288999984,16.885348877000002,2777763.0,0.0,0.0,0.0,131.16493414,131.39363989,Addis Ababa_Addis Ababa
33,Addis Ababa,Addis Ababa,2,2006,1.0,0.0,0.0,0.0,30.013601281,8.792342134199997,16.925879009000003,2850120.0,0.0,0.0,0.0,127.85427051,129.55652075000003,Addis Ababa_Addis Ababa
34,Addis Ababa,Addis Ababa,2,2007,0.0,13.5,14.5,12.0,28.305063161,26.714349493,15.884803477999997,8405526.0,0.0,0.0,0.0,133.02792047999998,133.1863205,Addis Ababa_Addis Ababa
35,Addis Ababa,Addis Ababa,2,2008,0.0,18.0,23.7,10.5,10.0481932143,7.908382113600001,15.499366477,3006289.0,0.0,0.0,0.0,127.24604562,128.56180003,Addis Ababa_Addis Ababa
36,Addis Ababa,Addis Ababa,2,2009,0.0,46.1,61.1,24.2,8.8988567815,35.888322888000005,16.459809398999994,3089964.0,0.0,0.0,0.0,132.23315091,132.89043612,Addis Ababa_Addis Ababa
37,Addis Ababa,Addis Ababa,2,2010,0.0,5.0,-1.6,17.6,74.80449248800001,11.095757335700002,16.508270367,3177713.0,4.11027777775,8.1295726495,6.3945872155000005,132.48284332999998,134.05916665,Addis Ababa_Addis Ababa
38,Addis Ababa,Addis Ababa,2,2011,0.0,9.8,3.7,19.6,12.394289458,13.2051343455,16.569969081000007,3268409.0,3.64569444425,7.231848147999999,6.9770733064999995,129.49140215,132.34953763,Addis Ababa_Addis Ababa
39,Addis Ababa,Addis Ababa,2,2012,0.0,35.9,44.3,24.3,7.4934632504,8.7403789082,16.21079217,3362496.0,0.0,0.0,0.0,125.44029312,128.65928988,Addis Ababa_Addis Ababa
40,Addis Ababa,Addis Ababa,2,2013,0.0,20.3,22.6,17.7,8.803491931,8.590652390499999,16.861205872,3460484.0,6.60416666675,13.3541445325,11.480780050249999,126.12290259999999,128.99689011,Addis Ababa_Addis Ababa
41,Addis Ababa,Addis Ababa,2,2014,0.0,7.5,4.8,10.6,26.637983583,8.8222125518,15.726960180999999,3562422.0,7.111111111,13.090510697500001,10.8303035725,128.04357634000002,128.94113492000002,Addis Ababa_Addis Ababa
42,Addis Ababa,Addis Ababa,2,2015,0.0,7.4,6.0,9.0,21.286183727,7.361099529600001,16.744420462,3668349.0,7.02777777775,13.1797767875,13.41423927,126.36541864,128.7403039,Addis Ababa_Addis Ababa
43,Addis Ababa,Addis Ababa,2,2016,1.0,10.3,12.5,8.0,24.453764389000007,21.818371899000002,17.018475866,3778249.0,0.0,0.0,0.0,129.59973369,130.99831653,Addis Ababa_Addis Ababa
44,Addis Ababa,Addis Ababa,2,2017,1.0,6.8,5.9,7.8,29.047337585,8.6730711102,16.320026980999998,3891784.0,0.0,0.0,0.0,128.33424273,128.93469147,Addis Ababa_Addis Ababa
45,Addis Ababa,Addis Ababa,2,2018,1.0,12.1,13.0,11.9,45.22064182300001,9.5234598817,17.126356192,4008641.0,11.1696428575,19.091369047500002,29.357203039999998,126.01714545999998,126.57054698000002,Addis Ababa_Addis Ababa
46,Addis Ababa,Addis Ababa,2,2019,1.0,13.0,11.7,14.4,10.2906581535,8.1406476149,0.0,4128712.0,0.0,0.0,0.0,125.59040283,128.20953838,Addis Ababa_Addis Ababa
47,Addis Ababa,Addis Ababa,2,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4251897.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
48,Addis Ababa,Addis Ababa,3,1997,1.0,0.0,0.0,0.0,33.779907054,7.686830092899999,17.460316478000006,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
49,Addis Ababa,Addis Ababa,3,1998,0.0,0.0,0.0,0.0,39.128928179,36.255272686,17.060380403,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
50,Addis Ababa,Addis Ababa,3,1999,0.0,0.0,0.0,0.0,52.801288846999995,8.7542368513,16.514403516999998,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
51,Addis Ababa,Addis Ababa,3,2000,0.0,0.0,0.0,0.0,30.170711905,7.421071146400001,16.672021995,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
52,Addis Ababa,Addis Ababa,3,2001,0.0,0.0,0.0,0.0,149.95538090000002,15.444511599999998,16.808268801,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
53,Addis Ababa,Addis Ababa,3,2002,0.0,0.0,0.0,0.0,72.680613825,21.616005076,17.145309524,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
54,Addis Ababa,Addis Ababa,3,2003,0.0,0.0,0.0,0.0,52.023415526,25.461433173000003,17.484859410000002,2642130.0,0.0,0.0,0.0,130.16196226,129.54964318,Addis Ababa_Addis Ababa
55,Addis Ababa,Addis Ababa,3,2004,0.0,0.0,0.0,0.0,45.192498052000005,15.361654824,17.122411924999998,2708629.0,0.0,0.0,0.0,129.01440648,130.59524937,Addis Ababa_Addis Ababa
56,Addis Ababa,Addis Ababa,3,2005,1.0,0.0,0.0,0.0,56.358807582,20.789831485,17.708043785999998,2777763.0,0.0,0.0,0.0,131.76098975,131.16493414,Addis Ababa_Addis Ababa
57,Addis Ababa,Addis Ababa,3,2006,0.0,0.0,0.0,0.0,89.82946229899997,30.013601281,17.287538059000006,2850120.0,0.0,0.0,0.0,127.73457027,127.85427051,Addis Ababa_Addis Ababa
58,Addis Ababa,Addis Ababa,3,2007,0.0,14.2,15.3,12.7,61.200865658999994,28.305063161,17.084768191000002,8405526.0,0.0,0.0,0.0,130.40619921,133.02792047999998,Addis Ababa_Addis Ababa
59,Addis Ababa,Addis Ababa,3,2008,0.0,19.0,25.2,10.7,15.931895562000001,10.0481932143,16.086397082999998,3006289.0,0.0,0.0,0.0,124.77217581000002,127.24604562,Addis Ababa_Addis Ababa
60,Addis Ababa,Addis Ababa,3,2009,0.0,45.2,59.2,24.4,28.845165305,8.8988567815,17.070661756,3089964.0,0.0,0.0,0.0,129.18785721,132.23315091,Addis Ababa_Addis Ababa
61,Addis Ababa,Addis Ababa,3,2010,0.0,3.9,-3.3,17.7,77.15134811200002,74.80449248800001,16.879296201,3177713.0,3.9468055554999997,7.804451852,6.56450713975,136.04240468999998,132.48284332999998,Addis Ababa_Addis Ababa
62,Addis Ababa,Addis Ababa,3,2011,1.0,11.3,5.8,20.0,57.034667078999995,12.394289458,16.872614476000006,3268409.0,4.33333333325,7.580150463,7.4117083335,128.99550502999998,129.49140215,Addis Ababa_Addis Ababa
63,Addis Ababa,Addis Ababa,3,2012,1.0,36.4,45.4,24.0,50.451416027,7.4934632504,17.116872107,3362496.0,0.0,0.0,0.0,123.91894713,125.44029312,Addis Ababa_Addis Ababa
64,Addis Ababa,Addis Ababa,3,2013,1.0,18.2,19.7,16.7,45.943289741,8.803491931,18.239446009,3460484.0,6.4805555555000005,13.4479185775,10.10844561775,125.2012719,126.12290259999999,Addis Ababa_Addis Ababa
65,Addis Ababa,Addis Ababa,3,2014,0.0,7.6,4.9,10.7,50.932470867,26.637983583,17.798990038999996,3562422.0,6.83333333325,13.2242708325,11.462408935,129.67670148,128.04357634000002,Addis Ababa_Addis Ababa
66,Addis Ababa,Addis Ababa,3,2015,0.0,7.4,6.3,8.6,48.613011343000004,21.286183727,18.179017732000002,3668349.0,7.2430555555,13.6975138025,13.675596315,125.67020868,126.36541864,Addis Ababa_Addis Ababa
67,Addis Ababa,Addis Ababa,3,2016,1.0,10.2,12.2,8.1,21.7065396,24.453764389000007,19.595725029,3778249.0,0.0,0.0,0.0,129.41400622,129.59973369,Addis Ababa_Addis Ababa
68,Addis Ababa,Addis Ababa,3,2017,1.0,6.9,6.1,7.8,58.587551276999996,29.047337585,17.870888352,3891784.0,0.0,0.0,0.0,128.96703468,128.33424273,Addis Ababa_Addis Ababa
69,Addis Ababa,Addis Ababa,3,2018,1.0,12.6,13.2,12.7,30.967903323,45.22064182300001,17.496859388,4008641.0,11.660714285000001,20.031130515,26.5675568175,126.77488374,126.01714545999998,Addis Ababa_Addis Ababa
70,Addis Ababa,Addis Ababa,3,2019,1.0,12.6,11.5,13.8,50.046339555,10.2906581535,0.0,4128712.0,0.0,0.0,0.0,127.45114137,125.59040283,Addis Ababa_Addis Ababa
71,Addis Ababa,Addis Ababa,3,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4251897.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
72,Addis Ababa,Addis Ababa,4,1997,1.0,0.0,0.0,0.0,83.076371695,33.779907054,16.688248288,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
73,Addis Ababa,Addis Ababa,4,1998,0.0,0.0,0.0,0.0,65.373100431,39.128928179,18.569520182999998,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
74,Addis Ababa,Addis Ababa,4,1999,0.0,0.0,0.0,0.0,23.064915813000002,52.801288846999995,17.672025627000004,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
75,Addis Ababa,Addis Ababa,4,2000,0.0,0.0,0.0,0.0,78.683693672,30.170711905,17.452764884,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
76,Addis Ababa,Addis Ababa,4,2001,1.0,0.0,0.0,0.0,33.497476012,149.95538090000002,17.74763229,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
77,Addis Ababa,Addis Ababa,4,2002,1.0,0.0,0.0,0.0,47.72970829800001,72.680613825,18.048547831,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
78,Addis Ababa,Addis Ababa,4,2003,0.0,0.0,0.0,0.0,114.538266222,52.023415526,17.546073448999998,2642130.0,0.0,0.0,0.0,131.38486337,130.16196226,Addis Ababa_Addis Ababa
79,Addis Ababa,Addis Ababa,4,2004,1.0,0.0,0.0,0.0,127.475160213,45.192498052000005,17.144078312999998,2708629.0,0.0,0.0,0.0,134.77100551,129.01440648,Addis Ababa_Addis Ababa
80,Addis Ababa,Addis Ababa,4,2005,1.0,0.0,0.0,0.0,116.21031177000002,56.358807582,17.830460289,2777763.0,0.0,0.0,0.0,132.29669644000003,131.76098975,Addis Ababa_Addis Ababa
81,Addis Ababa,Addis Ababa,4,2006,1.0,0.0,0.0,0.0,99.52323669400002,89.82946229899997,17.146478490999993,2850120.0,0.0,0.0,0.0,135.97300066,127.73457027,Addis Ababa_Addis Ababa
82,Addis Ababa,Addis Ababa,4,2007,0.0,15.2,16.4,13.4,74.980429585,61.200865658999994,17.14763222,8405526.0,0.0,0.0,0.0,134.84482476,130.40619921,Addis Ababa_Addis Ababa
83,Addis Ababa,Addis Ababa,4,2008,1.0,19.9,26.6,10.8,38.047859158,15.931895562000001,17.047817971,3006289.0,0.0,0.0,0.0,125.8673623,124.77217581000002,Addis Ababa_Addis Ababa
84,Addis Ababa,Addis Ababa,4,2009,1.0,44.3,57.2,24.6,50.9952137,28.845165305,17.936408739,3089964.0,0.0,0.0,0.0,131.16485398999998,129.18785721,Addis Ababa_Addis Ababa
85,Addis Ababa,Addis Ababa,4,2010,1.0,2.9,-4.9,17.7,122.75584602999996,77.15134811200002,18.888916162,3177713.0,3.860972222,7.71403333325,6.51047961225,138.72906460000002,136.04240468999998,Addis Ababa_Addis Ababa
86,Addis Ababa,Addis Ababa,4,2011,0.0,13.2,8.5,20.5,83.61793152700001,57.034667078999995,18.247632099,3268409.0,4.592361111,8.37541666675,7.622206439499999,129.75239431000003,128.99550502999998,Addis Ababa_Addis Ababa
87,Addis Ababa,Addis Ababa,4,2012,0.0,36.3,45.5,23.4,103.20550185200001,50.451416027,16.863235906,3362496.0,0.0,0.0,0.0,129.28634947,123.91894713,Addis Ababa_Addis Ababa
88,Addis Ababa,Addis Ababa,4,2013,0.0,16.2,16.7,16.0,83.86219685799998,45.943289741,18.155105024,3460484.0,6.5194444444999995,13.427645502500003,9.992632576750001,131.11575774,125.2012719,Addis Ababa_Addis Ababa
89,Addis Ababa,Addis Ababa,4,2014,1.0,7.8,5.4,10.6,42.035360523,50.932470867,17.611786845,3562422.0,7.3625,13.1556477275,12.3433740925,130.22668044,129.67670148,Addis Ababa_Addis Ababa
90,Addis Ababa,Addis Ababa,4,2015,1.0,7.4,6.6,8.4,61.241063056,48.613011343000004,19.137704195999998,3668349.0,7.0,13.494641205,14.6115685375,126.35138696,125.67020868,Addis Ababa_Addis Ababa
91,Addis Ababa,Addis Ababa,4,2016,0.0,10.1,11.8,8.2,108.27889763200001,21.7065396,17.999244888,3778249.0,0.0,0.0,0.0,131.72504852,129.41400622,Addis Ababa_Addis Ababa
92,Addis Ababa,Addis Ababa,4,2017,0.0,7.0,6.6,7.4,29.644445553,58.587551276999996,17.715530496000003,3891784.0,0.0,0.0,0.0,129.55107417999997,128.96703468,Addis Ababa_Addis Ababa
93,Addis Ababa,Addis Ababa,4,2018,1.0,13.1,13.0,13.7,113.39411635,30.967903323,17.248590557999997,4008641.0,9.52777777775,20.07069853,27.71875,126.48694186,126.77488374,Addis Ababa_Addis Ababa
94,Addis Ababa,Addis Ababa,4,2019,1.0,12.5,11.8,13.3,100.62232688799999,50.046339555,0.0,4128712.0,0.0,0.0,0.0,128.10684633999998,127.45114137,Addis Ababa_Addis Ababa
95,Addis Ababa,Addis Ababa,4,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4251897.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
96,Addis Ababa,Addis Ababa,5,1997,1.0,0.0,0.0,0.0,43.677376636999995,83.076371695,17.167525847,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
97,Addis Ababa,Addis Ababa,5,1998,0.0,0.0,0.0,0.0,104.12658958799999,65.373100431,17.218321455,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
98,Addis Ababa,Addis Ababa,5,1999,0.0,0.0,0.0,0.0,39.331635654,23.064915813000002,17.162010988,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
99,Addis Ababa,Addis Ababa,5,2000,0.0,0.0,0.0,0.0,85.536168505,78.683693672,16.966924819000003,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
100,Addis Ababa,Addis Ababa,5,2001,0.0,0.0,0.0,0.0,122.927339837,33.497476012,16.847603127,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
101,Addis Ababa,Addis Ababa,5,2002,0.0,0.0,0.0,0.0,53.997464833,47.72970829800001,18.867387560999997,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
102,Addis Ababa,Addis Ababa,5,2003,0.0,0.0,0.0,0.0,20.637581426000004,114.538266222,18.167934866,2642130.0,0.0,0.0,0.0,134.87132992,131.38486337,Addis Ababa_Addis Ababa
103,Addis Ababa,Addis Ababa,5,2004,0.0,0.0,0.0,0.0,21.348348253,127.475160213,18.026642300000002,2708629.0,0.0,0.0,0.0,137.94384725000003,134.77100551,Addis Ababa_Addis Ababa
104,Addis Ababa,Addis Ababa,5,2005,0.0,0.0,0.0,0.0,130.611223118,116.21031177000002,17.286103252,2777763.0,0.0,0.0,0.0,139.83816892000002,132.29669644000003,Addis Ababa_Addis Ababa
105,Addis Ababa,Addis Ababa,5,2006,1.0,0.0,0.0,0.0,60.60612361800001,99.52323669400002,17.352231332000002,2850120.0,0.0,0.0,0.0,138.89483216000002,135.97300066,Addis Ababa_Addis Ababa
106,Addis Ababa,Addis Ababa,5,2007,0.0,15.5,16.9,13.5,110.430503612,74.980429585,17.688294833999997,8405526.0,0.0,0.0,0.0,133.34082871,134.84482476,Addis Ababa_Addis Ababa
107,Addis Ababa,Addis Ababa,5,2008,1.0,21.8,29.7,11.4,58.469767033000004,38.047859158,17.449899818,3006289.0,0.0,0.0,0.0,129.52236596,125.8673623,Addis Ababa_Addis Ababa
108,Addis Ababa,Addis Ababa,5,2009,0.0,41.6,52.6,24.6,45.202639723000004,50.9952137,18.038700403,3089964.0,0.0,0.0,0.0,133.09430969,131.16485398999998,Addis Ababa_Addis Ababa
109,Addis Ababa,Addis Ababa,5,2010,1.0,2.4,-5.7,17.8,84.921882252,122.75584602999996,18.474239252,3177713.0,3.69375,7.709059259250001,6.03976785725,136.77211722999996,138.72906460000002,Addis Ababa_Addis Ababa
110,Addis Ababa,Addis Ababa,5,2011,1.0,15.5,11.9,21.1,77.120208499,83.61793152700001,17.344574357,3268409.0,5.84722222225,8.6110449735,8.8285925915,130.41867397,129.75239431000003,Addis Ababa_Addis Ababa
111,Addis Ababa,Addis Ababa,5,2012,1.0,35.3,44.2,22.9,39.946088185,103.20550185200001,17.893566779000004,3362496.0,0.0,0.0,0.0,134.39632066,129.28634947,Addis Ababa_Addis Ababa
112,Addis Ababa,Addis Ababa,5,2013,0.0,14.6,14.4,15.1,58.820546293999996,83.86219685799998,18.029069285,3460484.0,6.86388888875,13.982857142499999,10.36667366575,134.64671206,131.11575774,Addis Ababa_Addis Ababa
113,Addis Ababa,Addis Ababa,5,2014,1.0,8.0,5.7,10.7,67.538827133,42.035360523,17.376642267,3562422.0,7.2444444445,13.611466345,12.3306080175,127.41437483,130.22668044,Addis Ababa_Addis Ababa
114,Addis Ababa,Addis Ababa,5,2015,0.0,7.5,6.9,8.2,85.13969991500002,61.241063056,17.809427172,3668349.0,7.270833333500001,13.537854839999998,13.394345497500002,128.07887072,126.35138696,Addis Ababa_Addis Ababa
115,Addis Ababa,Addis Ababa,5,2016,1.0,9.9,11.6,8.1,207.82572521000003,108.27889763200001,17.386844399999998,3778249.0,0.0,0.0,0.0,135.4746217,131.72504852,Addis Ababa_Addis Ababa
116,Addis Ababa,Addis Ababa,5,2017,0.0,7.1,7.0,7.2,88.354196213,29.644445553,17.630660285,3891784.0,0.0,0.0,0.0,130.75793391,129.55107417999997,Addis Ababa_Addis Ababa
117,Addis Ababa,Addis Ababa,5,2018,0.0,13.7,13.1,14.8,66.533113294,113.39411635,17.357288548,4008641.0,9.96875,19.990345645,27.5768336475,124.87308018000002,126.48694186,Addis Ababa_Addis Ababa
118,Addis Ababa,Addis Ababa,5,2019,1.0,0.0,0.0,0.0,56.681836318,100.62232688799999,0.0,4128712.0,0.0,0.0,0.0,131.08953667999998,128.10684633999998,Addis Ababa_Addis Ababa
119,Addis Ababa,Addis Ababa,5,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4251897.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
120,Addis Ababa,Addis Ababa,6,1997,0.0,0.0,0.0,0.0,109.083588765,43.677376636999995,16.460943823,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
121,Addis Ababa,Addis Ababa,6,1998,0.0,0.0,0.0,0.0,128.67586108,104.12658958799999,16.998246418,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
122,Addis Ababa,Addis Ababa,6,1999,0.0,0.0,0.0,0.0,125.82589274999998,39.331635654,16.292802372000004,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
123,Addis Ababa,Addis Ababa,6,2000,0.0,0.0,0.0,0.0,127.05161741000002,85.536168505,16.325344705,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
124,Addis Ababa,Addis Ababa,6,2001,0.0,0.0,0.0,0.0,155.2048865,122.927339837,15.75646511,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
125,Addis Ababa,Addis Ababa,6,2002,0.0,0.0,0.0,0.0,127.20532085000002,53.997464833,16.520316662,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
126,Addis Ababa,Addis Ababa,6,2003,0.0,0.0,0.0,0.0,128.21188904000002,20.637581426000004,16.336021469000002,2642130.0,0.0,0.0,0.0,130.95805834000004,134.87132992,Addis Ababa_Addis Ababa
127,Addis Ababa,Addis Ababa,6,2004,0.0,0.0,0.0,0.0,115.99248893,21.348348253,16.209081143,2708629.0,0.0,0.0,0.0,132.02000821,137.94384725000003,Addis Ababa_Addis Ababa
128,Addis Ababa,Addis Ababa,6,2005,1.0,0.0,0.0,0.0,125.84186595,130.611223118,15.906901247000002,2777763.0,0.0,0.0,0.0,135.21845606000002,139.83816892000002,Addis Ababa_Addis Ababa
129,Addis Ababa,Addis Ababa,6,2006,0.0,0.0,0.0,0.0,128.84638037000002,60.60612361800001,16.353418509,2850120.0,0.0,0.0,0.0,134.51278909,138.89483216000002,Addis Ababa_Addis Ababa
130,Addis Ababa,Addis Ababa,6,2007,0.0,15.8,17.5,13.5,179.48473426999996,110.430503612,16.186164014000003,8405526.0,0.0,0.0,0.0,129.15844628000002,133.34082871,Addis Ababa_Addis Ababa
